country,count,latitude,longitude
Denmark,16,56.26392,9.501785
Azerbaijan,28,40.143105,47.576927
Iran,17,32.427908,53.688046
Uzbekistan,21,41.377491,64.585262
France,47,46.227638,2.213749
Cuba,35,21.521757,-77.781167
Hungary,66,47.162494,19.503304
India,67,20.593684,78.96288
Indonesia,8,-0.789275,113.921327
Egypt,6,26.820553,30.802498
Russia,252,61.52401,105.318756
Norway,16,60.472024,8.468946
Armenia,42,40.069099,45.038189
Ukraine,102,48.379433,31.16558
Sweden,24,60.128161,18.643501
Qatar,2,25.354826,51.183884
Belarus,20,53.709807,27.953389
Turkey,10,38.963745,35.243322
Spain,48,40.463667,-3.74922
Argentina,33,-38.416097,-63.616672
Turkmenistan,6,38.969719,59.556278
Tajikistan,2,38.861034,71.276093
Greece,15,39.074208,21.824312
Poland,51,51.919438,19.145136
Philippines,16,12.879721,121.774017
Portugal,4,39.399872,-8.224454
Germany,79,51.165691,10.451526
Colombia,10,4.570868,-74.297333
Iceland,13,64.963051,-19.020835
Bulgaria,41,42.733883,25.48583
United States,79,37.09024,-95.712891
Georgia,31,42.315407,43.356892
Kazakhstan,15,48.019573,66.923684
Israel,43,31.046051,34.851612
Czech Republic,27,49.817492,15.472962
Paraguay,2,-23.442503,-58.443832
Romania,26,45.943161,24.96676
China,50,35.86166,104.195397
Austria,8,47.516231,14.550072
Brazil,14,-14.235004,-51.92528
Italy,17,41.87194,12.56738
Mongolia,8,46.862496,103.846656
Tunisia,3,33.886917,9.537499
Bosnia and Herzegovina,5,43.915886,17.679076
Canada,14,56.130366,-106.346771
Montenegro,6,42.708678,19.37439
Serbia,44,44.016521,21.005859
Netherlands,40,52.132633,5.291266
Moldova,7,47.411631,28.369885
Finland,6,61.92411,25.748151
Slovenia,10,46.151241,14.995463
Croatia,23,45.1,15.2
Australia,11,-25.274398,133.775136
Switzerland,7,46.818188,8.227512
Vietnam,11,14.058324,108.277199
Lithuania,11,55.169438,23.881275
Chile,6,-35.675147,-71.542969
Peru,11,-9.189967,-75.015152
New Zealand,1,-40.900557,174.885971
Belgium,7,50.503887,4.469936
Luxembourg,1,49.815273,6.129583
Andorra,2,42.546245,1.601554
Albania,1,41.153332,20.168331
Latvia,13,56.879635,24.603189
Slovakia,13,48.669026,19.699024
Venezuela,2,6.42375,-66.58973
Singapore,2,1.352083,103.819836
Costa Rica,2,9.748917,-83.753428
Mexico,7,23.634501,-102.552784
Algeria,2,28.033886,1.659626
Morocco,1,31.791702,-7.09262
Bangladesh,5,23.684994,90.356331
Estonia,6,58.595272,25.013607
Ecuador,1,-1.831239,-78.183406
Dominican Republic,1,18.735693,-70.162651
Uruguay,1,-32.522779,-55.765835
United Arab Emirates,2,23.424076,53.847818
Zambia,1,-13.133897,27.849332
South Africa,1,-30.559482,22.937506
Kyrgyzstan,1,41.20438,74.766098
Bolivia,1,-16.290154,-63.588653
Faroe Islands,1,61.892635,-6.911806
