country_name,total_players,titled_players,continent
Argentina,5628,286,Americas
Spain,26889,684,Europe
Italy,12340,258,Europe
Russia,49603,2616,Europe
Canada,1909,212,Americas
Luxembourg,330,17,Europe
Belgium,3457,113,Europe
Liechtenstein,16,7,Europe
France,26234,486,Europe
Turkey,9173,202,Asia
Hungary,6572,477,Europe
Czech Republic,9087,345,Europe
Slovakia,4251,134,Europe
Iceland,830,63,Europe
Armenia,1223,134,Asia
Poland,15098,464,Europe
United States,7163,804,Americas
New Zealand,716,71,Oceania
Andorra,77,10,Europe
Japan,262,30,Asia
Ireland,846,41,Europe
Norway,4353,146,Europe
Australia,2713,187,Oceania
Georgia,1521,134,Asia
"Korea, Republic of",694,24,Asia
Serbia,6467,584,Europe
Sierra Leone,9,2,Africa
Hong Kong,367,22,Asia
India,35092,436,Asia
Estonia,869,53,Europe
Finland,1161,119,Europe
Malta,187,18,Europe
Tunisia,704,45,Africa
Morocco,491,44,Africa
Dominican Republic,901,40,Americas
Sweden,4299,209,Europe
Senegal,16,1,Africa
Egypt,3855,76,Africa
Gabon,4,2,Africa
Lebanon,410,23,Asia
Jordan,637,32,Asia
Austria,4240,254,Europe
Israel,3021,220,Asia
Albania,266,23,Europe
Montenegro,595,59,Europe
Bosnia And Herzegovina,1828,105,Europe
Ukraine,9270,563,Europe
Macedonia,633,49,Europe
Afghanistan,95,11,Asia
Romania,5401,270,Europe
Cyprus,282,10,Asia
Singapore,842,76,Asia
Lithuania,2220,62,Europe
Iraq,1053,74,Asia
China,1764,184,Asia
Ecuador,1417,74,Americas
Cabo Verde,52,6,Africa
Sao Tome and Principe,27,4,Africa
Kenya,630,31,Africa
Trinidad and Tobago,247,31,Americas
Brazil,7739,238,Americas
Jamaica,274,44,Americas
Colombia,3943,264,Americas
Ethiopia,136,10,Africa
Venezuela,3456,161,Americas
Guyana,58,6,Americas
Mexico,2466,224,Americas
Cuba,2368,321,Americas
Peru,3271,102,Americas
Belarus,1598,116,Europe
Bolivia,1326,41,Americas
Panama,414,39,Americas
Kazakhstan,3629,175,Asia
Uzbekistan,1171,80,Asia
Azerbaijan,2031,160,Asia
Maldives,46,6,Asia
Thailand,482,20,Asia
Syria,409,24,Asia
Yemen,121,16,Asia
Saint Lucia,11,0,Americas
Pakistan,180,13,Asia
Suriname,169,21,Americas
Qatar,61,13,Asia
Djibouti,11,0,Africa
Papua New Guinea,10,6,Oceania
Uganda,326,21,Africa
South Sudan,23,0,Africa
Somalia,19,1,Africa
Cameroon,22,7,Africa
Brunei Darussalam,127,6,Asia
San Marino,19,6,Europe
Ghana,98,10,Africa
Côte D'Ivoire,55,3,Africa
Kyrgyzstan,791,21,Asia
Moldova,714,72,Europe
Turkmenistan,286,55,Asia
Tajikistan,141,10,Asia
Eswatini,66,3,Africa
Namibia,95,14,Africa
Mozambique,68,11,Africa
Macao,41,12,Asia
Eritrea,8,2,Africa
Rwanda,47,5,Africa
Palau,156,3,Oceania
Laos,23,0,Asia
Mali,17,3,Africa
Burundi,13,1,Africa
Congo (Democratic Republic Of The),8,2,Africa
Nauru,14,2,Oceania
Liberia,34,7,Africa
Central African Republic,6,0,Africa
Guam,37,5,Oceania
Timor-Leste,45,1,Asia
